Stkcd,Year,Net Fixed Assets,Total Assets,Total liabilities,Depreciation and amortization,Net profit,Trdsta,Nnindcd,OWNERSHIPTYPECODE,M2,Lev,NPR,Size,Tang,Growth,NDTS,SOE
002153,2021,387444405.6,10502976964.0,1632619908.0,209028646.9,-413384458.0,1.0,I,P0306,8.9676257,0.155443538874356,-0.0393587893619986,23.07492457430653,0.0368890084142814,-0.0084808963971039,0.0199018476015387,0
002153,2022,532061355.9,9591087186.0,1412448785.0,253552573.9,-742072412.8,1.0,I,P0306,11.8100353,0.1472668069436106,-0.0773710423447296,22.984100086048155,0.055474561494618,-0.0868220297088714,0.0264362703604767,0
002153,2023,622709840.2,9692401355.0,1528282684.0,254657624.5,-49482409.5,1.0,I,P0306,9.6982498,0.157678435717234,-0.0051052786288584,22.99460805000077,0.0642472197954084,0.0105633664917452,0.0262739454519834,0
002153,2024,581993181.2,9447040786.0,1488752900.0,322238774.7,-147835792.2,1.0,I,P0306,7.2743696,0.1575893376268948,-0.0156488995388994,22.968967385073512,0.0616058715510662,-0.0253147347095182,0.0341100225985623,0
002153,2025,569967237.5,9357887141.0,1598615238.0,301389882.1,-110004041.5,1.0,I,P0306,8.5342965,0.1708307883940956,-0.0117552220755084,22.959485369155285,0.0609076844924518,-0.0094372033549511,0.0322070439148075,0
002154,2010,414754408.6,2578668596.0,714169830.2,40670197.33,242625325.1,1.0,C18,P0306,19.7330678,0.276952932729631,0.0940893783235106,21.670539054619294,0.1608405241539615,0.2952389126979887,0.0157717813731811,0
002154,2011,934676412.4,4086189472.0,1900172090.0,55485315.78,359456651.6,1.0,C18,P0306,17.3229731,0.4650230007738613,0.0879686696035812,22.130878703289746,0.2287403505894011,0.5846121049980786,0.013578742777398,0
002154,2012,1216005906.0,4769536190.0,2134385109.0,77122687.05,468955917.6,1.0,C18,P0306,14.3916404,0.447503703499522,0.0983231699936005,22.28551490231821,0.2549526531635354,0.1672332432655242,0.0161698504797381,0
002154,2013,1098123351.0,4586422623.0,1961127607.0,84137184.3,159392964.0,1.0,C18,P0306,13.5889076,0.4275941770314261,0.0347532220865726,22.24636617217318,0.2394291676247036,-0.0383923215393402,0.0183448389335227,0
002154,2014,882456236.1,4349000984.0,1622448213.0,82445041.81,134169528.3,1.0,C18,P0306,11.0119364,0.3730622777435545,0.0308506548500702,22.1932119968208,0.2029101026526693,-0.0517661930693821,0.0189572368719427,0
002154,2015,924365721.7,4533691866.0,1736417609.0,87229430.27,100017098.4,1.0,C18,P0306,13.3431019,0.3830030051274772,0.0220608504848044,22.234802425981243,0.2038880781978578,0.0424674270434701,0.019240264413241,0
002154,2016,742414688.2,4161668665.0,1763142299.0,93258618.25,-387170922.3,1.0,C18,P0306,11.3331207,0.4236623433836004,-0.0712340883561558,22.149181952186133,0.1783935118246613,-0.0820574516300839,0.0224089483707132,0
002154,2017,607163035.1,4256100375.0,1729190701.0,90935802.23,30427000.54,1.0,C18,P0306,8.1739625,0.4062852255922183,0.0071490326494003,22.17161917305916,0.1426571230947531,0.0226908285116926,0.0213659909818268,0
002154,2018,598903567.2,4195950341.0,1404309390.0,100832531.1,50928754.16,1.0,C18,P0306,8.9443284,0.3346820805475304,0.0121375969735291,22.15738569256772,0.1427337119193041,-0.0141326634008249,0.0240309162181288,0
002154,2019,557566112.1,4417368163.0,1525577168.0,109045311.8,204250133.0,1.0,C18,P0306,8.7447711,0.3453588452912476,0.0462379691850919,22.20880991745697,0.1262213362178388,0.0527694095510269,0.0246855837630575,0
002154,2020,488260290.0,4858669174.0,1536314977.0,101695523.2,390054695.6,1.0,C18,P0306,10.0834733,0.3162007788513818,0.0802801511342414,22.30403040484956,0.1004925983873953,0.099901342771551,0.0209307362897229,0
002154,2021,446268319.6,6117536478.0,1851409897.0,91366505.88,479420938.9,1.0,C18,P0306,8.9676257,0.3026397805159111,0.0783683008060683,22.53442531615666,0.0729490246939889,0.2590971434598852,0.0149351795789978,0
002154,2022,417835613.7,5990458688.0,1941639679.0,86895768.04,476047470.6,1.0,C18,P0306,11.8100353,0.3241220380819025,0.0794676159863369,22.51343382176805,0.0697501869993698,-0.0207727065391435,0.0145056952340007,0
002154,2023,466414624.6,7055130924.0,2584800826.0,80941257.18,728891871.4,1.0,C18,P0306,9.6982498,0.3663717730888703,0.1033137271656392,22.67702097969771,0.0661099885493776,0.1777279990483426,0.0114726796783679,0
002154,2024,822108626.5,6675973041.0,2174789628.0,89165124.01,520154868.0,1.0,C18,P0306,7.2743696,0.3257636923701891,0.0779144650233766,22.62178080454132,0.1231443898067113,-0.0537421469685542,0.0133561240380089,0
002155,2010,1075747715.0,3139169468.0,1093583426.0,118754064.9,191134033.8,1.0,B,P0301,19.7330678,0.3483671197581869,0.060886816002888,21.867224101243167,0.3426854542151784,0.1446474135356814,0.0378297718904801,1
002155,2011,1174495188.0,3673853122.0,1171394218.0,124910623.8,540230033.2,1.0,B,P0301,17.3229731,0.3188462301297193,0.1470472594467537,22.02450684525921,0.319690294902323,0.1703264699311225,0.0339998959272493,1
002155,2012,1251236363.0,4367338961.0,1409506681.0,122806011.9,535435308.0,1.0,B,P0301,14.3916404,0.3227381006115591,0.122599897278731,22.19741972716905,0.2864985690768324,0.1887625378508531,0.028119184930835,1
002155,2013,1375939557.0,4451852169.0,1324814906.0,138659558.3,189575610.7,1.0,B,P0301,13.5889076,0.2975873536918427,0.042583536807464,22.216586064282787,0.3090712595043494,0.0193511904513701,0.0311464875823013,1
002155,2014,1557706915.0,4902885591.0,1686067120.0,144853802.7,120089542.8,1.0,B,P0301,11.0119364,0.3438928134678556,0.0244936457461791,22.31308976485417,0.3177122708837853,0.1013136566260495,0.0295446018495519,1
002155,2015,2132050501.0,5744546300.0,2320868535.0,194876529.3,18652221.22,1.0,B,P0301,13.3431019,0.4040125039987927,0.003246944187742,22.47151677210858,0.3711434097066987,0.1716663979565416,0.0339237459536186,1
002155,2016,2267499170.0,6489527832.0,2125371239.0,190022062.3,122979222.8,1.0,B,P0301,11.3331207,0.3275078394023906,0.0189504114912007,22.593455611857063,0.3494089598967298,0.1296850078482264,0.0292813386765978,1
002155,2017,2493786448.0,6886315141.0,2250025877.0,205135135.0,293269185.3,1.0,B,P0301,8.1739625,0.3267387319531329,0.042587244309213,22.6528019662817,0.3621365558994536,0.0611427085717135,0.0297888102417298,1
002155,2018,2888563677.0,6887421789.0,1962405796.0,208192727.6,259215226.5,1.0,B,P0301,8.9443284,0.2849260370744516,0.0376360319494293,22.65296265586188,0.4193969478700094,0.00016070249144,0.0302279625058694,1
002155,2019,3214275246.0,6799641641.0,1765867706.0,229121748.4,155647864.7,1.0,B,P0301,8.7447711,0.259700113510732,0.0228905981988058,22.640135747886845,0.4727124480529664,-0.0127449938001756,0.0336961505468843,1
002155,2020,3460946307.0,6941933504.0,1737434017.0,250199527.4,225227379.0,1.0,B,P0301,10.0834733,0.2502809939044901,0.0324444737003346,22.6608461755444,0.4985565339981683,0.0209263767875675,0.0360417637616138,1
002155,2021,3843736644.0,7356908165.0,1807820158.0,280037719.5,364510074.9,1.0,B,P0301,8.9676257,0.2457309670658367,0.0495466392572537,22.718905595149064,0.522466307556525,0.0597779654271952,0.038064593606355,1
002155,2022,3767444269.0,7316456786.0,1412902737.0,321575418.0,432839552.6,1.0,B,P0301,11.8100353,0.1931129750815424,0.0591597224257835,22.713392002103312,0.5149274271952216,-0.0054984210884192,0.0439523429722612,1
002155,2023,3732437475.0,7585363019.0,1294260382.0,305810546.6,494495945.4,1.0,B,P0301,9.6982498,0.1706260305219546,0.0651908081605817,22.749486308720304,0.4920578574355506,0.0367536146068067,0.0403158749072389,1
002155,2024,3619255626.0,8198902635.0,1224016059.0,361581066.9,858032514.1,1.0,B,P0301,7.2743696,0.1492902298625723,0.1046521165451064,22.827266157261253,0.4414317119159203,0.0808846741366486,0.0441011538978959,1
002155,2025,3637943909.0,9435622401.0,1270891461.0,341649888.7,1510065330.0,1.0,B,P0301,8.5342965,0.1346907927202883,0.15802826249657656,22.967757980840783,0.3855542066429497,0.1508396697773445,0.0362085164264088,1
002156,2010,1343133130.0,3634209945.0,1501902974.0,180994515.6,139078881.0,1.0,C39,P0306,19.7330678,0.4132680821223167,0.038269357881029,22.013657577678707,0.3695805003912618,0.7341061636413724,0.0498029883631282,0
002156,2011,1524176383.0,3390223115.0,1209641155.0,206848186.4,49028221.73,1.0,C39,P0306,17.3229731,0.35680281620639,0.0144616504775379,21.94416157180724,0.4495799631169702,-0.0671361406447309,0.0610131485107286,0
002156,2012,1582872068.0,3382396574.0,1173720400.0,233779461.5,37840342.98,1.0,C39,P0306,14.3916404,0.3470085113680108,0.0111874353441797,21.941850340749426,0.4679735310067754,-0.0023085622198054,0.0691165143960437,0
002156,2013,1873915126.0,3686188070.0,1430065293.0,250782560.6,60660291.84,1.0,C39,P0306,13.5889076,0.38795234150926,0.016456103347977,22.027858717681355,0.5083612367070571,0.0898154575767968,0.0680330346248448,0
002156,2014,2318292445.0,3955052998.0,1590563527.0,291942945.3,120824422.3,1.0,C39,P0306,11.0119364,0.4021598516642684,0.0305493813511724,22.09825983832909,0.5861596408878261,0.0729384727242091,0.0738151790753829,0
002156,2015,2714807148.0,6511942945.0,2771554272.0,355077225.8,147325358.3,1.0,C39,P0306,13.3431019,0.4256109574989527,0.0226238711770531,22.59690370409107,0.4168966422048404,0.6464868987325767,0.0545270787534518,0
002156,2016,5026709404.0,11203124861.0,5061365435.0,655018713.2,236705088.4,1.0,C39,P0306,11.3331207,0.4517815786039734,0.0211284879296499,23.139458581779103,0.4486881532043651,0.7203966551337775,0.0584675009273736,0
002156,2017,5665419939.0,12146404901.0,5888152260.0,892671812.0,197151574.1,1.0,C39,P0306,8.1739625,0.4847650237244466,0.0162312697219379,23.22029907002621,0.4664277195743386,0.084197940458891,0.07077690711475995,0
